Name,ERA,WHIP,WAR,FIP,KBO_ranking,injured
후랭코프,3.74,1.16,3.65,4.61,2,0
플렉센,3.01,1.09,5.58,2.73,2,0
미란다,2.33,1.14,8.49,2.67,2,0
로켓,2.98,1.4,4.16,3.33,2,1
듀브론트,4.92,1.63,2.49,4.98,7,0
톰슨,4.74,1.23,1.48,3.66,10,0
스트레일리,2.5,1.02,8.28,3.01,7,0
아드리안샘슨,5.4,1.56,2.22,4.59,7,0
프랑코,5.4,1.48,0.86,5.31,8,0
웹스터,5.7,1.68,0.74,6.07,9,1
플란데,7.6,1.82,0.5,6.11,9,0
벨레스터,8.03,2.59,-0.08,6.95,9,1
레온,11.25,2.13,0.06,6.04,9,1
레나도,6.8,1.98,-0.54,7.53,9,1
아델만,5.05,1.5,3.7,4.89,6,0
보니야,5.3,1.52,2.9,5.14,6,0
라이블리,3.95,1.12,2.06,3.23,8,0
맥과이어,5.05,1.65,1.08,5.05,8,1
헤일리,5.75,1.47,2.56,3.6,8,1
뷰캐넌,3.45,1.27,3.81,4.34,8,0
몽고메리,5.37,1.62,1,4.39,3,0
서캠프,6.31,1.72,0.33,5.22,7,0
오간도,3.93,1.32,2.25,4.45,8,1
비야누에바,4.18,1.17,1.93,4.66,8,1
헤일,4.34,1.28,1.33,4.69,3,0
키버스샘슨,4.68,1.38,4.9,4.35,3,0
휠러,5.13,1.59,2.16,4.79,3,0
채드벨,3.5,1.31,2.96,4.15,9,0
서폴드,3.51,1.27,4.73,3.49,9,0
카펜터,3.97,1.31,4.44,3.35,10,0
헥터,3.4,1.27,6.61,3.72,5,0
팻딘,4.14,1.42,3.64,4.66,1,0
윌랜드,4.75,1.52,2.8,4.23,7,1
터너,5.46,1.55,2.36,4.31,7,0
브룩스,2.5,1.02,6.53,2.72,9,0
가뇽,4.34,1.42,4.51,3.73,9,0
멩덴,3.6,1.2,2.91,3.97,9,1
허프,3.13,1.08,2.61,3.31,4,0
코프랜드,5.54,1.78,0,6.68,4,0
윌슨,3.07,1.14,6.24,3.63,8,0
케이시켈리,2.55,1.14,4.45,3.46,4,0
수아레즈,2.18,1.14,4.82,2.77,4,1
브리검,4.38,1.33,2.69,4.36,7,0
오설리반,15.75,2.38,-0.02,6.61,7,0
스미스,6.3,1.4,0.03,5.13,5,0
다이아몬드,4.42,1.47,1.77,4.88,5,1
산체스,4.89,1.38,2.63,5.38,1,0
핀토,6.17,1.78,1.23,5.51,9,0
킹험,6.75,1.88,0.16,4.77,9,1
가빌리오,5.86,1.45,1.92,4.02,6,0
르위키,3.77,1.19,0.21,4.31,6,1
폰트,3.46,1.09,5.43,3.28,6,0
맨쉽,3.67,1.29,2.79,4.08,4,1
왕웨이중,4.26,1.48,3.2,4.62,10,1
베렛,5.28,1.53,2.63,5.3,10,0
프리드릭,2.75,1.18,1.75,3.57,5,1
루친스키,3.05,1.18,3.56,3.84,5,0
버틀러,4.76,1.44,0.91,4.31,5,1
라이트,4.68,1.44,3.15,4.35,1,0
파슨스,3.72,1.29,4.14,3.66,7,0
마리몬,5.23,1.44,1.24,4.66,10,1
피노,7.15,1.97,0.23,5.41,5,1
로치,4.69,1.58,1.81,5.28,10,0
쿠에바스,3.62,1.17,2.41,4.43,6,0
알칸타라,4.01,1.25,2.86,3.1,6,0
데스파이네,4.33,1.45,4.31,4.3,3,0
